(Do Not Modify) Task,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Subject,Description,Regarding,Owner,Duration,DueDate,Mo.-Fr. after 6pm,Offsetting to Customer,Saturday,Sunday/Holiday
,,,Preparing DC for ISO certification,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,7/19/17 1:00 PM,,,,
,,,Preparing DC for ISO certification,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,7/20/17 1:00 PM,,,,
,,,Preparing DC for ISO certification,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,7/21/17 1:00 PM,,,,
,,,Preparing DC for ISO certification,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,7/24/17 1:00 PM,,,,
,,,Preparing DC for ISO certification,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,7/25/17 1:00 PM,,,,
,,,Preparing DC for ISO certification,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,7/26/17 1:00 PM,,,,
,,,Preparing DC for ISO certification,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,7/27/17 1:00 PM,,,,
,,,Preparing DC for ISO certification,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,7/28/17 1:00 PM,,,,
,,,Preparing DC for ISO certification,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,7/31/17 1:00 PM,,,,
,,,Preparing DC for ISO certification,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,8/1/17 1:00 PM,,,,
,,,Preparing DC for ISO certification,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,8/2/17 1:00 PM,,,,
,,,Preparing DC for ISO certification,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,8/3/17 1:00 PM,,,,
,,,Preparing DC for ISO certification,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,8/4/17 1:00 PM,,,,
,,,Preparing DC for ISO certification,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,8/7/17 1:00 PM,,,,
,,,Preparing DC for ISO certification,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,8/8/17 1:00 PM,,,,
,,,Preparing DC for ISO certification,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,60,8/9/17 1:00 PM,,,,
,,,Preparing network infrastructure for the SDN implementation,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,9/11/17 1:00 PM,,,,
,,,Preparing network infrastructure for the SDN implementation,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,9/12/17 1:00 PM,,,,
,,,Preparing network infrastructure for the SDN implementation,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,9/13/17 1:00 PM,,,,
,,,Preparing network infrastructure for the SDN implementation,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,9/14/17 1:00 PM,,,,
,,,Preparing network infrastructure for the SDN implementation,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,9/15/17 1:00 PM,,,,
,,,Preparing network infrastructure for the SDN implementation,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,9/18/17 1:00 PM,,,,
,,,Preparing network infrastructure for the SDN implementation,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,9/19/17 1:00 PM,,,,
,,,Preparing network infrastructure for the SDN implementation,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,9/20/17 1:00 PM,,,,
,,,Preparing network infrastructure for the SDN implementation,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,9/21/17 1:00 PM,,,,
,,,Preparing network infrastructure for the SDN implementation,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,9/22/17 1:00 PM,,,,
,,,Preparing network infrastructure for the SDN implementation,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,9/25/17 1:00 PM,,,,
